,name,Gender,Eye,Race,Hair color,Height,Publisher,Skin,Alignment,Weight
491,Nightwing,Male,blue,Human,Black,178.0,DC Comics,-,good,79.0
495,Northstar,Male,blue,-,Black,180.0,Marvel Comics,-,good,83.0
496,Nova,Male,brown,Human,Brown,185.0,Marvel Comics,-,good,86.0
497,Nova,Female,white,Human / Cosmic,Red,163.0,Marvel Comics,gold,good,59.0
498,Odin,Male,blue,God / Eternal,White,206.0,Marvel Comics,-,good,293.0
500,Omega Red,Male,red,-,Blond,211.0,Marvel Comics,-,bad,191.0
501,Omniscient,Male,brown,-,Black,180.0,Team Epic TV,-,good,65.0
502,One Punch Man,Male,-,Human,No Hair,175.0,Shueisha,-,good,69.0
504,Onslaught,Male,red,Mutant,No Hair,305.0,Marvel Comics,-,bad,405.0
505,Oracle,Female,blue,Human,Red,178.0,DC Comics,-,good,59.0
510,Paul Blart,Male,-,Human,-,170.0,Sony Pictures,-,good,117.0
513,Penance II,Male,blue,-,Blond,183.0,Marvel Comics,-,good,89.0
514,Penguin,Male,blue,Human,Black,157.0,DC Comics,-,bad,79.0
517,Phantom Girl,Female,blue,-,Black,168.0,DC Comics,-,good,54.0
518,Phoenix,Female,green,Mutant,Red,168.0,Marvel Comics,-,good,52.0
519,Plantman,Male,green,Mutant,Grey,183.0,Marvel Comics,-,bad,87.0
521,Plastic Man,Male,blue,Human,Black,185.0,DC Comics,-,good,80.0
522,Plastique,Female,blue,-,Red,168.0,DC Comics,-,bad,55.0
523,Poison Ivy,Female,green,Human,Red,168.0,DC Comics,green,bad,50.0
524,Polaris,Female,green,Mutant,Green,170.0,Marvel Comics,-,good,52.0
525,Power Girl,Female,blue,Kryptonian,blond,180.0,DC Comics,-,good,81.0
527,Predator,Male,-,Yautja,-,213.0,Dark Horse Comics,-,bad,234.0
528,Professor X,Male,blue,Mutant,No Hair,183.0,Marvel Comics,-,good,86.0
529,Professor Zoom,Male,blue,Human,Strawberry Blond,180.0,DC Comics,-,bad,81.0
531,Psylocke,Female,blue,Mutant,Purple,180.0,Marvel Comics,-,good,70.0
532,Punisher,Male,blue,Human,Black,183.0,Marvel Comics,-,good,90.0
533,Purple Man,Male,purple,Human,Purple,180.0,Marvel Comics,purple,bad,74.0
534,Pyro,Male,blue,-,Blond,178.0,Marvel Comics,-,bad,68.0
537,Question,Male,blue,Human,Blond,188.0,DC Comics,-,good,83.0
538,Quicksilver,Male,blue,Mutant,Silver,183.0,Marvel Comics,-,good,79.0
539,Quill,Male,brown,-,Brown,163.0,Marvel Comics,-,good,56.0
540,Ra's Al Ghul,Male,green,Human,Grey,193.0,DC Comics,-,bad,97.0
542,Rambo,Male,brown,Human,Black,178.0,,-,good,83.0
544,Raven,Female,indigo,Human,Black,165.0,DC Comics,-,neutral,50.0
545,Ray,Male,green,Human,Red,178.0,DC Comics,-,good,70.0
546,Razor-Fist II,Male,blue,-,No Hair,191.0,Marvel Comics,-,bad,117.0
547,Red Arrow,Male,green,Human,Red,180.0,DC Comics,-,good,83.0
548,Red Hood,Male,blue,Human,Black,183.0,DC Comics,-,neutral,81.0
549,Red Hulk,Male,yellow,Human / Radiation,Black,213.0,Marvel Comics,red,neutral,630.0
551,Red Robin,Male,blue,Human,Black,165.0,DC Comics,-,good,56.0
552,Red Skull,Male,blue,-,No Hair,188.0,Marvel Comics,-,bad,108.0
553,Red Tornado,Male,green,Android,No Hair,185.0,DC Comics,-,good,146.0
557,Rey,Female,hazel,Human,Brown,297.0,George Lucas,-,good,-99.0
558,Rhino,Male,brown,Human / Radiation,Brown,196.0,Marvel Comics,-,bad,320.0
559,Rick Flag,Male,blue,-,Brown,185.0,DC Comics,-,bad,85.0
562,Ripcord,Female,green,-,Black,180.0,Marvel Comics,-,good,72.0
563,Robin,Male,blue,Human,Black,178.0,DC Comics,-,good,79.0
564,Robin II,Male,blue,Human,Red,183.0,DC Comics,-,good,101.0
565,Robin III,Male,blue,Human,Black,165.0,DC Comics,-,good,56.0
566,Robin V,Male,blue,Human,Black,137.0,DC Comics,-,good,38.0
568,Rocket Raccoon,Male,brown,Animal,Brown,122.0,Marvel Comics,-,good,25.0
569,Rogue,Female,green,-,Brown / White,173.0,Marvel Comics,-,good,54.0
570,Ronin,Male,blue,Human,Blond,191.0,Marvel Comics,-,good,104.0
571,Rorschach,Male,blue,Human,Red,168.0,DC Comics,-,good,63.0
572,Sabretooth,Male,amber,Mutant,Blond,198.0,Marvel Comics,-,bad,171.0
573,Sage,Female,blue,-,Black,170.0,Marvel Comics,-,good,61.0
574,Sandman,Male,brown,Human,Brown,185.0,Marvel Comics,-,neutral,203.0
575,Sasquatch,Male,red,-,Orange,305.0,Marvel Comics,-,good,900.0
576,Sauron,Male,-,Maiar,-,279.0,J. R. R. Tolkien,-,bad,-99.0
578,Scarecrow,Male,blue,Human,Brown,183.0,DC Comics,-,bad,63.0
579,Scarlet Spider,Male,blue,Human,Blond,178.0,Marvel Comics,-,good,74.0
580,Scarlet Spider II,Male,brown,Clone,Brown,193.0,Marvel Comics,-,good,113.0
581,Scarlet Witch,Female,blue,Mutant,Brown,170.0,Marvel Comics,-,bad,59.0
583,Scorpion,Male,brown,Human,Brown,211.0,Marvel Comics,-,bad,310.0
585,Sentry,Male,blue,Mutant,Blond,188.0,Marvel Comics,-,neutral,87.0
586,Shadow King,-,red,-,-,185.0,Marvel Comics,-,good,149.0
587,Shadow Lass,Female,black,Talokite,Black,173.0,DC Comics,blue,good,54.0
588,Shadowcat,Female,hazel,Mutant,Brown,168.0,Marvel Comics,-,good,50.0
589,Shang-Chi,Male,brown,Human,Black,178.0,Marvel Comics,-,good,79.0
590,Shatterstar,Male,brown,-,Red,191.0,Marvel Comics,-,good,88.0
591,She-Hulk,Female,green,Human,Green,201.0,Marvel Comics,-,good,315.0
592,She-Thing,Female,blue,Human / Radiation,No Hair,183.0,Marvel Comics,-,good,153.0
593,Shocker,Male,brown,Human,Brown,175.0,Marvel Comics,-,bad,79.0
594,Shriek,Female,blue,-,Black,173.0,Marvel Comics,-,good,52.0
596,Sif,Female,blue,Asgardian,Black,188.0,Marvel Comics,-,good,191.0
600,Silver Surfer,Male,white,Alien,No Hair,193.0,Marvel Comics,silver,good,101.0
601,Silverclaw,Female,brown,-,Black,157.0,Marvel Comics,-,good,50.0
603,Sinestro,Male,black,Korugaran,Black,201.0,DC Comics,red,neutral,92.0
604,Siren,Female,blue,Atlantean,Purple,175.0,DC Comics,-,bad,72.0
606,Siryn,Female,blue,-,Strawberry Blond,168.0,Marvel Comics,-,bad,52.0
607,Skaar,Male,green,-,Black,198.0,Marvel Comics,-,good,180.0
609,Snowbird,Female,white,-,Blond,178.0,Marvel Comics,-,good,49.0
611,Solomon Grundy,Male,black,Zombie,White,279.0,DC Comics,-,bad,437.0
612,Songbird,Female,green,-,Red / White,165.0,Marvel Comics,-,good,65.0
613,Space Ghost,Male,-,Human,-,188.0,DC Comics,-,good,113.0
614,Spawn,Male,brown,Demon,Black,211.0,Image Comics,-,good,405.0
620,Spider-Girl,Female,blue,Human,Brown,170.0,Marvel Comics,-,good,54.0
621,Spider-Gwen,Female,blue,Human,Blond,165.0,Marvel Comics,-,good,56.0
622,Spider-Man,Male,hazel,Human,Brown,178.0,Marvel Comics,-,good,74.0
623,Spider-Man,-,red,Human,Brown,178.0,Marvel Comics,-,good,77.0
624,Spider-Man,Male,brown,Human,Black,157.0,Marvel Comics,-,good,56.0
625,Spider-Woman,Female,green,Human,Black,178.0,Marvel Comics,-,good,59.0
627,Spider-Woman III,Female,brown,-,Brown,173.0,Marvel Comics,-,good,55.0
628,Spider-Woman IV,Female,red,-,White,178.0,Marvel Comics,-,bad,58.0
629,Spock,Male,brown,Human-Vulcan,Black,185.0,Star Trek,-,good,81.0
630,Spyke,Male,brown,Mutant,Blond,183.0,Marvel Comics,-,good,83.0
632,Star-Lord,Male,blue,Human-Spartoi,Blond,188.0,Marvel Comics,-,good,79.0
634,Starfire,Female,green,Tamaranean,Auburn,193.0,DC Comics,orange,good,71.0
635,Stargirl,Female,blue,Human,Blond,165.0,DC Comics,-,good,62.0
636,Static,Male,brown,Mutant,Black,170.0,DC Comics,-,good,63.0
637,Steel,Male,brown,-,No Hair,201.0,DC Comics,-,good,131.0
639,Steppenwolf,Male,red,New God,Black,183.0,DC Comics,white,bad,91.0
640,Storm,Female,blue,Mutant,White,180.0,Marvel Comics,-,good,57.0
641,Stormtrooper,Male,-,Human,-,183.0,George Lucas,-,bad,-99.0
642,Sunspot,Male,brown,Mutant,black,173.0,Marvel Comics,-,good,77.0
643,Superboy,Male,blue,-,Black,170.0,DC Comics,-,good,68.0
644,Superboy-Prime,Male,blue,Kryptonian,Black / Blue,180.0,DC Comics,-,bad,77.0
645,Supergirl,Female,blue,Kryptonian,Blond,165.0,DC Comics,-,good,54.0
646,Superman,Male,blue,Kryptonian,Black,191.0,DC Comics,-,good,101.0
648,Swarm,Male,yellow,Mutant,No Hair,196.0,Marvel Comics,yellow,bad,47.0
650,Synch,Male,brown,-,Black,180.0,Marvel Comics,-,good,74.0
651,T-1000,Male,-,Android,-,183.0,Dark Horse Comics,silver,bad,146.0
655,Taskmaster,Male,brown,Human,Brown,188.0,Marvel Comics,-,bad,99.0
656,Tempest,Female,brown,-,Black,163.0,Marvel Comics,-,good,54.0
657,Thanos,Male,red,Eternal,No Hair,201.0,Marvel Comics,purple,bad,443.0
659,The Comedian,Male,brown,Human,Black,188.0,DC Comics,-,neutral,101.0
660,Thing,Male,blue,Human / Radiation,No Hair,183.0,Marvel Comics,-,good,225.0
661,Thor,Male,blue,Asgardian,Blond,198.0,Marvel Comics,-,good,288.0
662,Thor Girl,Female,blue,Asgardian,Blond,175.0,Marvel Comics,-,good,143.0
663,Thunderbird,Male,brown,-,Black,185.0,Marvel Comics,-,good,101.0
665,Thunderbird III,Male,brown,-,Black,175.0,Marvel Comics,-,good,74.0
666,Thunderstrike,Male,blue,-,Blond,198.0,Marvel Comics,-,good,288.0
667,Thundra,Female,green,-,Red,218.0,Marvel Comics,-,good,158.0
668,Tiger Shark,Male,grey,Human,No Hair,185.0,Marvel Comics,grey,bad,203.0
669,Tigra,Female,green,-,Auburn,178.0,Marvel Comics,-,good,81.0
670,Tinkerer,Male,brown,-,White,163.0,Marvel Comics,-,bad,54.0
672,Toad,Male,black,Mutant,Brown,175.0,Marvel Comics,green,neutral,76.0
673,Toxin,Male,blue,Symbiote,Brown,188.0,Marvel Comics,-,good,97.0
674,Toxin,Male,black,Symbiote,Blond,191.0,Marvel Comics,-,good,117.0
676,Trickster,Male,blue,Human,Blond,183.0,DC Comics,-,-,81.0
678,Triplicate Girl,Female,purple,-,Brown,168.0,DC Comics,-,good,59.0
679,Triton,Male,green,Inhuman,No Hair,188.0,Marvel Comics,green,good,86.0
680,Two-Face,Male,-,-,-,183.0,DC Comics,-,bad,82.0
681,Ultragirl,Female,blue,-,Blond,168.0,Marvel Comics,-,good,105.0
682,Ultron,Male,red,Android,-,206.0,Marvel Comics,silver,bad,331.0
683,Utgard-Loki,Male,blue,Frost Giant,White,15.2,Marvel Comics,-,bad,58.0
684,Vagabond,Female,blue,-,Strawberry Blond,168.0,Marvel Comics,-,good,54.0
685,Valerie Hart,Female,hazel,-,Black,175.0,Team Epic TV,-,good,56.0
686,Valkyrie,Female,blue,-,Blond,191.0,Marvel Comics,-,good,214.0
687,Vanisher,Male,green,-,No Hair,165.0,Marvel Comics,-,bad,79.0
688,Vegeta,Male,-,Saiyan,Black,168.0,Shueisha,-,bad,73.0
689,Venom,Male,blue,Symbiote,Strawberry Blond,191.0,Marvel Comics,-,bad,117.0
690,Venom II,Male,brown,-,Black,175.0,Marvel Comics,-,bad,50.0
691,Venom III,Male,brown,Symbiote,Brown,229.0,Marvel Comics,-,bad,334.0
692,Venompool,Male,-,Symbiote,-,226.0,Marvel Comics,-,-,-99.0
693,Vertigo II,Female,blue,-,Silver,168.0,Marvel Comics,-,good,52.0
694,Vibe,Male,brown,Human,Black,178.0,DC Comics,-,good,71.0
695,Vindicator,Female,green,Human,Red,165.0,Marvel Comics,-,good,54.0
698,Violet Parr,Female,violet,Human,Black,137.0,Dark Horse Comics,-,good,41.0
699,Vision,Male,gold,Android,No Hair,191.0,Marvel Comics,red,good,135.0
700,Vision II,-,red,-,No Hair,191.0,Marvel Comics,-,good,135.0
701,Vixen,Female,amber,Human,Black,175.0,DC Comics,-,good,63.0
703,Vulture,Male,brown,Human,No Hair,180.0,Marvel Comics,-,bad,79.0
704,Walrus,Male,blue,Human,Black,183.0,Marvel Comics,-,bad,162.0
705,War Machine,Male,brown,Human,Brown,185.0,Marvel Comics,-,good,95.0
706,Warbird,Female,blue,-,Blond,180.0,Marvel Comics,-,good,54.0
707,Warlock,Male,red,-,Blond,188.0,Marvel Comics,-,good,108.0
708,Warp,Male,brown,-,Black,173.0,DC Comics,-,bad,67.0
709,Warpath,Male,brown,Mutant,Black,218.0,Marvel Comics,-,good,158.0
710,Wasp,Female,blue,Human,Auburn,163.0,Marvel Comics,-,good,50.0
714,White Queen,Female,blue,-,Blond,178.0,Marvel Comics,-,good,65.0
716,Winter Soldier,Male,brown,Human,Brown,175.0,Marvel Comics,-,good,117.0
717,Wiz Kid,-,brown,-,Black,140.0,Marvel Comics,-,good,39.0
718,Wolfsbane,Female,green,-,Auburn,366.0,Marvel Comics,-,good,473.0
719,Wolverine,Male,blue,Mutant,Black,160.0,Marvel Comics,-,good,135.0
720,Wonder Girl,Female,blue,Demi-God,Blond,165.0,DC Comics,-,good,51.0
721,Wonder Man,Male,red,-,Black,188.0,Marvel Comics,-,good,171.0
722,Wonder Woman,Female,blue,Amazon,Black,183.0,DC Comics,-,good,74.0
724,Wyatt Wingfoot,Male,brown,-,Black,196.0,Marvel Comics,-,good,117.0
725,X-23,Female,green,Mutant / Clone,Black,155.0,Marvel Comics,-,good,50.0
726,X-Man,Male,blue,-,Brown,175.0,Marvel Comics,-,good,61.0
727,Yellow Claw,Male,blue,-,No Hair,188.0,Marvel Comics,-,bad,95.0
728,Yellowjacket,Male,blue,Human,Blond,183.0,Marvel Comics,-,good,83.0
729,Yellowjacket II,Female,blue,Human,Strawberry Blond,165.0,Marvel Comics,-,good,52.0
730,Ymir,Male,white,Frost Giant,No Hair,304.8,Marvel Comics,white,good,-99.0
731,Yoda,Male,brown,Yoda's species,White,66.0,George Lucas,green,good,17.0
732,Zatanna,Female,blue,Human,Black,170.0,DC Comics,-,good,57.0
733,Zoom,Male,red,-,Brown,185.0,DC Comics,-,bad,81.0
